,"City, Country",Cloudiness,Humidity,Lat,Lon,Max Temp,Wind Speed
123,"Morogoro, TZ",56,100,-6.82,37.67,69.28,2.59
124,"Kapaa, US",75,78,22.08,-159.32,78.8,14.99
125,"Robertsport, LR",12,100,6.75,-11.37,80.94,6.17
126,"Atuona, PF",56,100,-9.8,-139.03,80.08,13.89
127,"Klaksvik, FO",88,100,62.23,-6.59,44.6,16.11
128,"Axim, GH",92,100,4.87,-2.24,80.58,6.4
129,"Mar del Plata, AR",8,36,-46.43,-67.52,64.29,21.5
130,"Bredasdorp, ZA",8,87,-34.53,20.04,53.6,6.93
131,"Buloh Kasap, MY",75,94,2.55,102.76,78.8,3.36
132,"Tamale, GH",56,61,9.4,-0.84,82.29,6.51
133,"Ribeira Grande, PT",92,99,38.52,-28.7,63.25,11.54
134,"Nioro, GM",0,48,13.79,-15.05,73.96,5.95
135,"Coari, BR",8,89,-4.09,-63.14,78.91,1.14
136,"Buta, CD",36,93,2.79,24.73,74.28,2.04
137,"Rosario, UY",76,97,-34.31,-57.35,67.53,7.85
138,"Novosheshminsk, RU",92,94,55.06,51.22,37.42,24.18
139,"Kayes, ML",0,33,14.44,-11.44,82.11,10.2
140,"Ntungamo, UG",88,89,-0.87,30.27,63.43,1.81
141,"Trairi, BR",8,100,-3.28,-39.27,82.24,11.77
142,"Omboue, GA",0,100,-1.57,9.26,83.19,9.19
143,"Seguela, CI",0,87,7.96,-6.67,75.94,6.73
144,"Sistranda, NO",75,93,63.73,8.83,41.0,13.87
145,"Almere, NL",0,71,52.37,5.21,57.2,8.05
146,"Barranca, PE",44,100,-10.75,-77.76,64.29,1.92
147,"Ilulissat, GL",92,85,69.22,-51.1,24.8,3.36
148,"Castro, CL",92,98,-42.48,-73.76,53.71,12.77
149,"Hualmay, PE",8,83,-11.1,-77.61,66.31,2.15
150,"Kishapu, TZ",44,95,-3.61,33.87,66.09,1.03
151,"Camacha, PT",75,82,33.08,-16.33,60.8,21.92
152,"Bafata, GW",0,39,12.17,-14.67,80.49,8.08
153,"Arcachon, FR",0,82,44.65,-1.18,60.8,5.28
154,"Beyneu, KZ",64,96,45.32,55.19,45.79,6.29
155,"Nisia Floresta, BR",20,83,-6.09,-35.21,78.8,4.7
156,"Atar, MR",48,28,20.52,-13.05,65.59,4.5
157,"Chuy, UY",92,100,-33.69,-53.46,67.44,7.96
158,"Menongue, AO",0,72,-14.66,17.68,59.43,2.37
159,"Zitlala, MX",0,48,17.69,-99.19,78.19,2.59
160,"Sharjah, AE",0,44,25.36,55.39,80.6,5.82
161,"Saurimo, AO",0,58,-9.66,20.4,65.19,4.94
162,"Luanda, AO",36,100,-8.83,13.24,77.61,4.05
163,"Grand Gaube, MU",75,88,-20.01,57.66,77.0,11.41
164,"Vestmannaeyjar, IS",92,98,63.44,-20.27,42.46,12.33
165,"Punta Cardon, VE",12,59,11.61,-70.22,84.94,21.72
166,"Bafoulabe, ML",0,38,13.81,-10.83,80.76,8.63
167,"Cayenne, GF",90,100,4.94,-52.33,77.0,3.36
168,"Saint-Joseph, FR",0,67,43.56,6.97,68.0,4.7
169,"Kapit, MY",68,95,2.02,112.94,74.23,2.93
170,"Aswan, EG",0,9,24.09,32.9,84.2,5.82
171,"Vestmanna, FO",88,100,62.16,-7.17,44.6,16.11
172,"Bad Oldesloe, DE",0,93,53.81,10.37,42.8,1.12
173,"Sumbe, AO",56,100,-11.2,13.84,77.2,5.61
174,"Ugoofaaru, MV",44,100,5.67,73.0,85.26,7.96
175,"Abalak, NE",0,23,15.46,6.28,74.64,9.75
176,"Ponta do Sol, BR",36,76,-20.63,-46.0,66.76,3.38
177,"Pergamino, AR",20,92,-33.9,-60.57,69.06,10.09
178,"Issia, CI",64,87,6.49,-6.58,78.55,4.5
179,"Hithadhoo, MV",88,100,-0.6,73.08,84.36,12.44
180,"Prestea, GH",44,96,5.43,-2.14,75.18,2.71
181,"Kenitra, MA",20,87,34.26,-6.57,53.6,2.24
182,"Mazarron, ES",44,78,37.6,-1.31,55.56,6.96
183,"Mersing, MY",44,96,2.43,103.84,79.68,2.15
184,"Saint George, GR",0,70,39.45,22.34,48.2,1.36
185,"Bilma, NE",0,17,18.69,12.92,69.78,2.71
186,"Danshui, CN",100,99,22.81,114.46,74.14,4.38
187,"Dabakala, CI",8,78,8.36,-4.43,79.63,8.75
188,"Humberto de Campos, BR",80,92,-2.6,-43.46,82.51,11.99
189,"Ujjain, IN",0,35,23.17,75.79,65.32,4.83
190,"San Luis de Gaceno, CO",44,85,4.82,-73.17,68.34,0.58
191,"Lebu, ET",24,95,8.96,38.73,49.21,2.71
192,"Plettenberg Bay, ZA",0,94,-34.05,23.37,59.02,8.19
193,"Adrar, DZ",0,14,27.87,-0.29,77.0,10.29
194,"Bama, CN",100,99,24.14,107.25,70.41,5.61
195,"Kruisfontein, ZA",0,87,-34.0,24.73,59.47,10.42
196,"Minab, IR",0,83,27.15,57.07,71.6,4.61
197,"Chapais, CA",1,43,49.78,-74.86,35.6,6.93
198,"Bambous Virieux, MU",75,88,-20.34,57.76,77.0,11.41
199,"Eydhafushi, MV",44,100,5.1,73.07,85.26,7.96
200,"Jackville, CI",20,83,5.21,-4.42,80.6,4.7
201,"Aljezur, PT",92,100,37.31,-8.8,58.26,8.19
202,"Fortuna, ES",0,82,38.18,-1.13,60.8,6.93
203,"Mitu, IR",80,62,36.2,46.09,49.44,8.41
204,"Harsin, IR",92,54,34.27,47.59,55.4,11.41
205,"Hamilton, BM",40,63,32.3,-64.78,62.6,9.17
206,"Camabatela, AO",0,89,-8.19,15.37,59.02,2.59
207,"San Patricio, PY",0,80,-26.98,-56.83,76.44,2.15
208,"Penha, BR",20,88,-26.78,-48.65,69.8,7.07
209,"Loudi, CN",100,100,27.73,112.0,68.61,7.96
210,"Liverpool, GB",12,67,53.41,-2.98,62.6,6.93
211,"Knysna, ZA",0,93,-34.04,23.05,53.6,4.7
212,"Cabo San Lucas, MX",75,44,22.89,-109.91,78.8,6.93
213,"Kingori, TZ",76,95,-3.38,37.02,66.54,2.04
214,"Mwene-Ditu, CD",24,95,-7.01,23.45,65.5,0.36
215,"Tessalit, ML",0,22,20.2,1.01,61.0,2.71
216,"Pacific Grove, US",1,28,36.62,-121.92,82.4,5.82
217,"Izumo, JP",0,56,35.37,132.75,69.8,1.12
218,"Kodiak, US",90,33,39.95,-94.76,59.0,12.75
219,"Jaciara, BR",0,81,-15.95,-54.98,72.34,2.82
220,"Biankouma, CI",0,95,7.74,-7.61,71.26,3.6
221,"Sabang, PH",76,100,13.72,123.58,77.83,4.61
222,"Saint-Georges, CA",80,55,46.12,-70.67,37.29,6.17
223,"Monrovia, LR",8,93,6.33,-10.8,77.2,3.38
224,"Coromandel, NZ",32,72,-36.76,175.5,62.6,19.46
225,"Rio Branco, BR",75,94,-9.98,-67.82,71.6,2.24
226,"Bubaque, GW",0,83,11.28,-15.83,71.6,8.05
227,"Challans, FR",0,93,46.85,-1.88,55.4,1.12
228,"Sakaraha, MG",0,93,-22.91,44.53,56.5,2.59
229,"Madimba, CM",75,94,4.42,9.93,77.0,3.36
230,"Qandala, SO",0,98,11.47,49.87,69.24,3.15
231,"Gao, ML",0,23,16.28,-0.04,77.2,9.64
232,"Loandjili, CG",20,94,-4.77,11.87,78.8,5.82
233,"Samarinda, ID",20,95,-0.5,117.14,77.2,2.93
234,"Pimenta Bueno, BR",12,88,-11.68,-61.19,78.1,1.7
235,"Oistins, BB",75,94,13.07,-59.53,75.2,16.11
236,"Constitucion, MX",90,9,23.99,-104.67,84.2,14.99
237,"Titlagarh, IN",0,72,20.29,83.16,74.01,6.51
238,"Esmeraldas, BR",0,72,-19.76,-44.31,68.0,9.17
239,"Lamu, ID",76,100,0.57,122.3,76.98,2.15
240,"Djibo, BF",12,43,14.1,-1.63,75.94,3.94
241,"Esperance, TT",40,78,10.24,-61.45,78.8,4.7
242,"Bathsheba, BB",75,94,13.22,-59.52,75.2,16.11
243,"Villa Carlos Paz, AR",20,78,-31.42,-64.5,75.2,8.05
244,"Anloga, GH",20,88,5.79,0.9,78.8,5.82
245,"Punta Arenas, CL",0,100,-53.16,-70.91,39.2,24.16
246,"Gushi, CN",92,100,32.17,115.65,69.01,4.61
247,"Rorvik, NO",92,100,64.86,11.24,41.56,19.26
248,"Mattru, SL",0,78,7.62,-11.83,78.64,4.38
249,"Kodarma, IN",0,48,24.47,85.59,72.7,3.94
250,"Fare, PF",44,100,-16.7,-151.02,81.34,9.86
251,"Lerwick, GB",64,93,60.15,-1.15,44.6,24.16
252,"Vila Velha, BR",40,88,-3.71,-38.6,80.6,4.7
253,"Biltine, TD",0,48,14.53,20.93,66.54,3.83
254,"Asbe Teferi, ET",76,97,9.08,40.87,58.93,2.48
255,"Jalu, LY",0,34,29.03,21.55,70.23,14.12
256,"Pindiga, NG",8,58,9.98,10.93,81.52,9.31
257,"Misratah, LY",0,98,32.38,15.09,59.02,7.18
258,"Thinadhoo, MV",12,100,0.53,72.93,85.08,13.44
259,"Senanga, ZM",0,59,-16.1,23.3,65.46,4.72
260,"Pitimbu, BR",20,88,-7.47,-34.81,77.0,2.24
261,"Kijabe, KE",90,93,-0.95,36.6,62.6,3.36
262,"Lagos, NG",0,96,6.46,3.39,77.83,4.16
263,"Barcelos, PT",0,87,41.53,-8.62,60.8,4.7
264,"Sao Joao da Barra, BR",48,100,-21.64,-41.05,76.71,13.33
265,"Point Fortin, TT",40,78,10.16,-61.68,78.8,4.7
266,"Saint-Pierre, FR",0,72,48.95,4.24,60.8,4.7
267,"Nazarovo, RU",36,67,56.01,90.42,41.02,8.63
268,"Luba, PH",24,75,17.32,120.7,79.27,3.71
269,"Namatanai, PG",32,97,-3.66,152.44,84.85,6.17
270,"Namibe, AO",0,100,-15.19,12.15,78.1,5.17
271,"Dekar, BW",0,49,-21.53,21.93,58.3,2.48
272,"Sinnamary, GF",76,100,5.38,-52.96,78.33,7.74
273,"Gotsu, JP",0,56,35.01,132.22,69.8,5.82
274,"Lubango, AO",0,71,-14.92,13.49,60.64,1.36
275,"Antofagasta, CL",90,82,-23.65,-70.4,62.6,11.41
276,"Ambilobe, MG",92,92,-13.19,49.05,72.97,5.39
277,"Mbanza-Ngungu, CD",12,90,-5.25,14.87,70.81,3.71
278,"Lagoa, PT",75,93,37.14,-8.45,60.8,2.24
279,"Pecq, BE",24,67,50.69,3.34,60.8,4.7
280,"Salvador, BR",75,74,-12.98,-38.48,78.8,10.29
281,"Banda Aceh, ID",20,99,5.56,95.32,75.49,2.93
282,"Tignere, CM",48,93,7.37,12.65,64.38,2.93
283,"Iqaluit, CA",5,79,63.75,-68.52,19.4,2.71
284,"Marawi, PH",92,100,8.0,124.29,72.25,1.92
285,"Carballo, ES",48,93,43.21,-8.69,55.4,2.24
286,"Nagercoil, IN",40,94,8.19,77.43,82.4,4.7
287,"Puebloviejo, CO",40,70,10.99,-74.28,86.0,23.04
288,"Namtsy, RU",20,65,62.72,129.66,30.4,3.6
289,"Oussouye, SN",0,88,12.49,-16.54,68.0,6.93
290,"Pozo Colorado, PY",0,68,-23.49,-58.8,80.08,6.4
291,"Porto de Moz, BR",56,88,-1.75,-52.24,77.16,4.94
292,"Victoria, BN",75,88,5.28,115.24,80.6,2.24
293,"Kavaratti, IN",24,100,10.57,72.64,86.2,5.17
294,"Mansa, IN",0,38,23.43,72.66,75.2,2.71
295,"Cam Ranh, VN",8,91,11.92,109.15,78.46,2.37
296,"Vanimo, PG",56,100,-2.67,141.3,82.96,9.31
297,"Saint-Philippe, CA",1,27,45.36,-73.48,50.0,12.75
298,"Narsaq, GL",48,69,60.91,-46.05,37.4,4.7
299,"Alta Floresta, BR",56,94,-9.87,-56.08,76.3,1.92
300,"Nalut, LY",0,59,31.86,10.98,58.48,6.06
301,"Graaff-Reinet, ZA",0,63,-32.25,24.53,47.41,2.82
302,"Mityana, UG",20,93,0.4,32.05,66.2,6.93
303,"Vrangel, RU",92,81,42.73,133.08,43.9,3.83
304,"Gaya, IN",40,69,24.8,85.01,77.0,9.17
305,"Pisco, PE",0,73,-13.71,-76.2,71.6,9.17
306,"Utiel, ES",0,82,39.57,-1.21,55.4,4.7
307,"Dharmapuri, IN",24,94,12.13,78.16,70.41,2.71
308,"Jalingo, NG",8,58,10.3,10.93,81.52,9.31
309,"Banyo, CM",32,85,6.75,11.81,63.25,2.71
310,"Viru, EE",8,66,57.74,26.74,42.8,11.41
311,"Paita, PE",8,61,-5.09,-81.11,75.54,8.41
312,"Mbandaka, CD",0,93,0.05,18.26,76.12,0.92
313,"Xuddur, SO",76,94,4.12,43.89,67.48,2.37
314,"Kangaatsiaq, GL",36,96,68.31,-53.46,20.32,1.14
315,"Hilo, US",90,88,19.71,-155.08,73.4,8.05
316,"Netivot, IL",92,93,31.42,34.59,57.76,7.74
317,"Narasapur, IN",48,98,16.45,81.67,85.08,8.97
318,"Bell Ville, AR",0,81,-32.63,-62.69,73.24,7.74
319,"Biak, ID",20,91,-0.91,122.88,81.66,2.71
320,"Martapura, ID",36,100,-3.41,114.85,78.06,4.05
321,"Lusambo, CD",48,96,-4.97,23.44,72.7,2.15
322,"Khuzdar, PK",0,36,27.8,66.62,38.23,2.59
323,"Meulaboh, ID",36,100,4.14,96.13,79.14,4.61
324,"Ponta Delgada, PT",75,77,37.73,-25.67,62.6,5.82
325,"Castelo Branco, PT",88,88,39.82,-7.5,58.84,6.4
326,"Flin Flon, CA",92,78,54.77,-101.88,47.64,8.52
327,"Villeneuve-sur-Lot, FR",0,82,44.41,0.7,57.2,1.12
328,"Kalabo, ZM",0,48,-15.0,22.67,67.57,8.41
329,"Abonnema, NG",20,88,4.71,6.79,77.0,2.93
330,"Ouadda, CF",0,69,8.07,22.4,77.79,9.64
331,"Khash, IR",0,40,28.22,61.21,42.46,3.15
332,"Muros, ES",0,87,42.77,-9.06,55.4,1.59
333,"Sabha, LY",12,27,27.03,14.43,73.11,16.02
334,"Saint-Paul, FR",0,76,45.22,1.9,53.6,5.61
335,"Wum, CM",44,93,6.39,10.08,65.14,2.71
336,"Manadhoo, MV",48,98,5.77,73.38,85.71,7.74
337,"Beberibe, BR",40,88,-4.18,-38.13,80.6,4.7
338,"Osecina, RS",0,81,44.37,19.6,46.4,2.24
339,"Carutapera, BR",92,87,-1.2,-46.02,80.26,8.19
340,"Liwale, TZ",12,93,-9.8,37.92,67.98,1.92
341,"Mataura, NZ",88,79,-46.19,168.86,50.83,15.23
342,"Libenge, CD",8,94,3.65,18.64,74.86,2.37
343,"Hami, CN",76,46,42.84,93.51,53.26,7.29
344,"Baghdad, IQ",75,40,33.3,44.38,73.4,9.17
345,"Caxito, BR",48,75,-22.65,-42.51,70.45,8.19
346,"Birjand, IR",0,18,32.86,59.22,59.0,16.11
347,"Sidmouth, GB",8,87,50.68,-3.24,59.0,10.29
348,"Huanren, CN",92,99,41.26,125.37,51.51,2.71
349,"Hit, IQ",24,26,33.64,42.83,68.2,8.86
350,"Los Llanos de Aridane, ES",80,63,28.66,-17.92,64.4,3.36
351,"Cururupu, BR",44,89,-1.82,-44.87,78.33,4.72
352,"Iranshahr, IR",0,25,27.21,60.69,75.2,6.93
353,"Bealanana, MG",8,97,-14.54,48.75,60.91,2.26
354,"Inhambane, MZ",0,100,-23.87,35.38,70.14,6.85
355,"Salalah, OM",0,44,17.01,54.1,77.0,4.7
356,"Watsa, CD",44,96,3.04,29.53,66.99,2.59
357,"Santa Rosa, AR",0,65,-36.62,-64.29,73.87,12.88
358,"Kasongo, CD",88,98,-4.43,26.67,69.28,4.05
359,"Obuasi, GH",12,95,6.21,-1.69,73.87,5.61
360,"Kananga, CD",64,94,-5.9,22.41,71.08,2.48
361,"Horqueta, PY",0,76,-23.34,-57.05,77.29,3.94
362,"Matara, PE",56,78,-13.74,-72.9,46.29,1.81
363,"San Lazaro, BZ",20,78,18.04,-88.66,82.4,5.82
364,"Leningradskiy, RU",64,100,69.38,178.42,22.44,11.65
365,"Pontes e Lacerda, BR",36,80,-15.23,-59.33,77.56,3.83
366,"Gbarnga, LR",88,94,7.0,-9.47,76.03,5.95
367,"Mbengwi, CM",92,98,6.0,10.01,61.18,1.48
368,"Kang, BW",0,58,-23.67,22.79,56.95,2.93
369,"Rumonge, BI",56,100,-3.97,29.44,70.41,1.7
370,"Acapulco, MX",5,79,16.86,-99.88,84.2,6.93
371,"Jilib, SO",80,97,0.49,42.79,73.83,3.49
372,"Sorland, NO",88,97,67.67,12.69,41.92,5.5
373,"Lima, PE",12,80,-12.06,-77.04,63.07,1.92
374,"Consuegra, ES",44,52,39.46,-3.61,57.94,10.31
375,"Yellowknife, CA",75,89,62.45,-114.38,32.0,12.75
376,"Tiznit, MA",44,82,29.7,-9.73,55.83,3.6
377,"Opuwo, NA",0,60,-18.06,13.84,58.98,3.83
378,"Dunda, IN",0,79,30.62,78.32,39.54,2.15
379,"Anaco, VE",8,62,9.43,-64.46,80.89,12.77
380,"Lichtenburg, ZA",0,72,-26.15,26.16,46.6,2.82
381,"Wagar, US",36,47,31.44,-87.99,75.18,5.95
382,"Mogadishu, SO",32,100,2.04,45.34,81.21,8.63
383,"Tiruchchendur, IN",12,92,8.48,78.12,77.56,4.72
384,"Luau, CD",0,67,-10.7,22.23,63.16,3.27
385,"Ferzikovo, RU",64,68,54.52,36.76,43.27,23.62
386,"Sayyan, YE",76,76,15.17,44.32,55.78,2.71
387,"Abu Samrah, SY",20,97,35.3,37.18,51.64,8.08
388,"Richards Bay, ZA",20,96,-28.77,32.06,65.14,3.6
389,"Lorengau, PG",48,96,-2.02,147.27,84.85,9.08
390,"Manakara, MG",0,100,-22.14,48.01,73.83,4.16
391,"Port Moresby, PG",75,74,-9.47,147.16,86.0,4.7
392,"Dondukovskaya, RU",0,77,44.88,40.36,44.58,8.97
393,"Kisangani, CD",32,96,0.52,25.21,75.18,2.26
394,"Wanlaweyn, SO",92,99,2.62,44.89,73.56,2.26
395,"Niamey, NE",0,12,13.52,2.11,87.8,4.7
396,"Nortelandia, BR",8,83,-14.45,-56.8,74.14,3.15
397,"Butembo, CD",88,99,0.12,29.29,61.36,1.48
398,"El Tigre, VE",8,55,8.89,-64.25,84.18,15.01
399,"Zambezi, ZM",20,57,-13.55,23.12,63.88,4.94
400,"Zabol, IR",0,30,31.03,61.49,53.6,11.41
401,"Bara, NG",8,58,10.41,10.6,81.52,9.31
402,"Cockburn Town, TC",48,97,21.46,-71.14,79.14,18.7
403,"Belmonte, PT",88,92,40.36,-7.35,54.43,3.27
404,"Rocha, UY",48,94,-34.48,-54.34,66.54,1.7
405,"Prado, BR",92,98,-17.34,-39.22,78.46,13.44
406,"Alyangula, AU",0,85,-13.85,136.42,87.78,16.69
407,"Mbala, ZM",20,93,-8.85,31.37,60.24,4.94
408,"Sao Gabriel da Cachoeira, BR",32,93,-0.13,-67.09,76.12,0.69
409,"Dolores, AR",0,88,-36.31,-57.68,65.01,6.29
410,"Imbituba, BR",0,83,-28.24,-48.67,73.4,4.7
411,"Lata, IN",0,79,30.78,78.62,39.54,2.15
412,"Bandarbeyla, SO",68,100,9.49,50.81,82.06,3.15
413,"Bitung, ID",40,79,1.44,125.19,84.2,2.24
414,"Mayumba, GA",24,98,-3.44,10.65,79.23,6.06
415,"La Macarena, CO",80,91,2.18,-73.79,74.14,1.7
416,"San Juan, AR",0,61,-31.54,-68.53,73.74,7.63
417,"Oranjestad, AW",75,83,12.52,-70.03,80.6,19.46
418,"La Cruz, MX",0,38,23.92,-106.89,84.31,3.71
419,"Guerrero, AR",75,78,-24.19,-65.45,73.4,3.36
